# cfgfile = ./demo_res/MYGI//lambda/MYGI.1401.kaiyo_kx_L-01.0_T1.0-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,dV0,gradV1e,gradV1n,gradV2e,gradV2n,dV,LogResidual
15,S01,L01,M14,3.167416,-7.75438546864243e-05,45.09702679079541,-0.0003279043992606159,False,1501.537855,4.51408,1276.29198,15.55564,178.78,-0.0,0.08,1505.76683,4.64649,1264.1022,15.50979,179.5,0.51,-0.67,-0.5200290560585143,-0.013204446428647206,0.0256106695081514,-0.002485196435202431,0.0034466044954716397,-0.4851507467416289,-2.4481739906101474e-05
16,S01,L01,M15,2.281008,-1.1282480135786259e-05,11.773124545702473,-0.00032752132957076754,False,1511.538295,4.42396,1247.33179,15.46451,180.52,0.59,-0.62,1514.88086,4.47424,1237.46213,15.29688,180.38,-0.58,-1.32,-0.5200941222035241,-0.013072474373234555,0.02551978895265228,-0.0024794620914305914,0.0034583860840687415,-0.484583976224054,-4.946269428159067e-06
17,S01,L01,M12,3.138552,-7.100405430975862e-05,44.26605193507751,-0.00033205725943279867,False,1521.53866,3.86945,1218.44956,15.59074,181.22,0.77,-1.05,1525.73877,3.46636,1205.9757,15.48015,181.83,-0.2,-1.39,-0.520165008731682,-0.012928463207830358,0.02542063276744412,-0.0024732058994112504,0.0034712318900872443,-0.4912951083854223,-2.262318875384528e-05
18,S01,L01,M13,3.640558,-0.00010114065123757875,52.038859162196445,-0.00033304433807114915,False,1531.53907,2.63393,1189.06362,15.47616,182.0,-0.49,-1.96,1536.241185,1.60891,1175.22179,15.34013,181.83,-0.72,-0.44,-0.520234569191218,-0.012786906744373407,0.025323182942929783,-0.0024670575044955295,0.003483847811171408,-0.49275553996111404,-2.77816343641768e-05
19,S01,L01,M14,3.073246,-7.12250129526088e-05,43.29526363572967,-0.00033038254205795093,False,1541.53943,1.01034,1159.99416,15.32323,180.96,-0.01,-1.34,1545.674235,0.03742,1148.1004,15.44654,180.5,0.44,-0.35,-0.5203003920153553,-0.012652734248474063,0.025230832241105956,-0.002461230784282806,0.0034957954056622576,-0.4888172813516264,-2.3175825479837542e-05
20,S01,L01,M15,2.254483,-5.37077910031273e-05,7.830479212882892,-0.0003299329080189267,False,1551.53985,-0.52628,1130.8861,15.47075,179.49,-0.28,-0.33,1554.85589,-0.48107,1121.23741,15.64572,180.38,0.79,-2.15,-0.5203652557889475,-0.012520297421618504,0.02513969261128146,-0.0024554802760604192,0.0035075782401343247,-0.48815202559328663,-2.3822664000184212e-05
21,S01,L01,M12,3.047947,-5.735404005061548e-05,42.46223858374938,-0.00033447715894102453,False,1561.540135,-0.74479,1101.71506,15.32854,179.92,-0.3,-3.11,1565.64964,-2.25227,1089.80572,15.62966,179.66,0.34,0.58,-0.5204354447916959,-0.012376731695442383,0.025040914383510277,-0.0024492473950799235,0.003520339183675493,-0.49487546917381897,-1.8817269477000576e-05
22,S01,L01,M13,3.518153,-0.00016950216813312106,50.43162929055774,-0.0003354879982443983,False,1571.54051,-1.84076,1072.68126,15.53353,178.94,0.92,-2.91,1576.12022,-3.10277,1059.13343,15.30031,178.3,-0.77,0.22,-0.5205044151070815,-0.012235396896958954,0.02494369243808895,-0.002443112117357998,0.0035328894304632293,-0.4963710558264329,-4.8179305485895885e-05
23,S01,L01,M14,2.985236,1.8783812279017383e-05,41.436113918228926,-0.0003328114264868998,False,1581.54095,-2.53321,1043.7346,15.57165,177.38,1.23,-1.58,1585.587745,-3.21761,1031.65115,15.37715,177.14,-0.59,0.59,-0.5205698868662025,-0.012100987144194207,0.02485125475407286,-0.0024372780421199128,0.003544813090489961,-0.49241093577380174,6.2922369551410284e-06
24,S01,L01,M15,2.238198,-8.010022789234843e-05,3.8227949444203944,-0.00033231077031990367,False,1591.541345,-2.29936,1014.36303,15.32832,177.28,0.48,-1.9,1594.8411,-2.93968,1005.00293,15.23503,176.71,-0.17,0.97,-0.5206345204356696,-0.011968056542040025,0.024759855416728413,-0.0024315086527465176,0.00355659392110071,-0.49167019025825914,-3.57878203324051e-05
25,S01,L01,M12,2.960577,5.381923892535098e-06,40.55640380354751,-0.00033687398864187763,False,1601.541735,-2.06311,985.2503,15.43584,177.2,-0.22,-1.21,1605.56387,-1.93543,973.71309,15.19192,176.6,-0.23,-0.03,-0.520703951282171,-0.011824981064248452,0.024661505822038306,-0.0024252994034568397,0.0035692603573481375,-0.4984216970432938,1.8178631707721493e-06
