      788.002700,        0.000000,        0.000000,        0.000000
     -199.353200,        0.000000,        0.000000,        0.000000
    -1676.758100,        0.000000,        0.000000,        0.000000
      -31.737100,        0.000000,        0.000000,        0.000000
     -932.468200,        0.000000,        0.000000,        0.000000
    -1675.639600,        0.000000,        0.000000,        0.000000
     -860.235900,        0.000000,        0.000000,        0.000000
     -138.386300,        0.000000,        0.000000,        0.000000
    -1668.392600,        0.000000,        0.000000,        0.000000
       -4.541000,        0.000000,        0.000000,        0.000000
      898.146200,        0.000000,        0.000000,        0.000000
    -1659.717000,        0.000000,        0.000000,        0.000000
        0.167533,        0.010834,        0.000000,        0.000000
       -0.033045,        0.010105,        0.000000,        0.000000
        0.142412,        0.005200,        0.000000,        0.000000
        1.550532,        0.003646,        0.000000,        0.000000
       -1.271050,        0.004697,        0.000000,        0.000000
       23.729500,        0.000000,        0.000000,        0.000000
       -2.479839,        0.379810,        1.000000,       71.000000
       -3.158960,        0.215039,        1.000000,       71.000000
       -3.829298,        0.145155,        1.000000,       71.000000
       -4.458569,        0.139611,        1.000000,       71.000000
       -4.938994,        0.143635,        1.000000,       71.000000
       -5.331230,        0.138724,        1.000000,       71.000000
       -5.660044,        0.137073,        1.000000,       71.000000
       -6.027899,        0.132453,        1.000000,       71.000000
       -6.453803,        0.128943,        1.000000,       71.000000
       -6.916344,        0.120906,        1.000000,       71.000000
       -7.306885,        0.119522,        1.000000,       71.000000
       -7.390498,        0.121749,        1.000000,       71.000000
       -7.099855,        0.119714,        1.000000,       71.000000
       -6.517308,        0.122259,        1.000000,       71.000000
       -5.931602,        0.130102,        1.000000,       71.000000
       -5.557484,        0.135307,        1.000000,       71.000000
       -5.506303,        0.140736,        1.000000,       71.000000
       -5.723773,        0.140654,        1.000000,       71.000000
       -6.026639,        0.133029,        1.000000,       71.000000
       -6.277418,        0.131329,        1.000000,       71.000000
       -6.458843,        0.131073,        1.000000,       71.000000
       -6.532845,        0.131416,        1.000000,       71.000000
       -6.565649,        0.132252,        1.000000,       71.000000
       -6.709211,        0.130313,        1.000000,       71.000000
       -6.912848,        0.121965,        1.000000,       71.000000
       -6.982845,        0.119516,        1.000000,       71.000000
       -6.625145,        0.122143,        1.000000,       71.000000
       -5.850674,        0.121314,        1.000000,       71.000000
       -4.819393,        0.121382,        1.000000,       71.000000
       -4.033695,        0.128038,        1.000000,       71.000000
       -3.554925,        0.137370,        1.000000,       71.000000
       -3.312430,        0.168161,        1.000000,       71.000000
       -3.128405,        0.248276,        1.000000,       71.000000
       -3.015177,        0.334377,        1.000000,       71.000000
       -2.984995,        0.335114,        1.000000,       71.000000
       -1.655310,        0.514777,        1.000000,       71.000000
       -1.625736,        0.518089,        1.000000,       71.000000
       -1.537432,        0.429251,        1.000000,       71.000000
       -1.402733,        0.314914,        1.000000,       71.000000
       -1.213922,        0.200198,        1.000000,       71.000000
       -0.976922,        0.139999,        1.000000,       71.000000
       -0.715286,        0.132287,        1.000000,       71.000000
       -0.628940,        0.131303,        1.000000,       71.000000
       -0.761974,        0.130238,        1.000000,       71.000000
       -1.016537,        0.130638,        1.000000,       71.000000
       -1.313798,        0.127850,        1.000000,       71.000000
       -1.545618,        0.122674,        1.000000,       71.000000
       -1.570092,        0.117655,        1.000000,       71.000000
       -1.387628,        0.117360,        1.000000,       71.000000
       -1.177098,        0.117652,        1.000000,       71.000000
       -0.966972,        0.118169,        1.000000,       71.000000
       -0.860175,        0.123256,        1.000000,       71.000000
       -0.683411,        0.131796,        1.000000,       71.000000
       -0.664447,        0.136519,        1.000000,       71.000000
       -0.758705,        0.141749,        1.000000,       71.000000
       -0.997183,        0.137272,        1.000000,       71.000000
       -1.330073,        0.135211,        1.000000,       71.000000
       -1.542139,        0.133838,        1.000000,       71.000000
       -1.648551,        0.132966,        1.000000,       71.000000
       -1.546249,        0.134390,        1.000000,       71.000000
       -1.219808,        0.131445,        1.000000,       71.000000
       -0.760586,        0.125809,        1.000000,       71.000000
       -0.232941,        0.118697,        1.000000,       71.000000
        0.331380,        0.119230,        1.000000,       71.000000
        0.846952,        0.120602,        1.000000,       71.000000
        1.139960,        0.119524,        1.000000,       71.000000
        1.213047,        0.125193,        1.000000,       71.000000
        1.161599,        0.133599,        1.000000,       71.000000
        1.082901,        0.145402,        1.000000,       71.000000
        1.023791,        0.218638,        1.000000,       71.000000
        0.961600,        0.378207,        1.000000,       71.000000
       -0.238500,        0.409567,        2.000000,       71.000000
       -0.275162,        0.320304,        2.000000,       71.000000
       -0.311851,        0.242699,        2.000000,       71.000000
       -0.348390,        0.180187,        2.000000,       71.000000
       -0.385504,        0.136657,        2.000000,       71.000000
       -0.425035,        0.112837,        2.000000,       71.000000
       -0.458138,        0.104445,        2.000000,       71.000000
       -0.463003,        0.101610,        2.000000,       71.000000
       -0.435247,        0.097944,        2.000000,       71.000000
       -0.381353,        0.093520,        2.000000,       71.000000
       -0.300978,        0.089971,        2.000000,       71.000000
       -0.195460,        0.088708,        2.000000,       71.000000
       -0.108135,        0.090242,        2.000000,       71.000000
       -0.070771,        0.095899,        2.000000,       71.000000
       -0.060276,        0.105868,        2.000000,       71.000000
       -0.065626,        0.117425,        2.000000,       71.000000
       -0.081664,        0.126310,        2.000000,       71.000000
       -0.101682,        0.129704,        2.000000,       71.000000
       -0.119522,        0.126313,        2.000000,       71.000000
       -0.130857,        0.117743,        2.000000,       71.000000
       -0.131178,        0.108251,        2.000000,       71.000000
       -0.113678,        0.102119,        2.000000,       71.000000
       -0.067834,        0.099522,        2.000000,       71.000000
