Stations,Station_velocity_E,Station_velocity_N,Station_velocity_U,Residual_STD_E,Residual_STD_N,Residual_STD_U
The proposed array-free solution,-5.7813062087533,0.436405331195965,-3.30959519891125,4.20901476408368,5.16197292910434,8.03688605153574
GARPOS array-free solution,-5.3923683626733,0.448100364945574,-3.25250014073046,5.1927954838677,6.21035759526836,10.5574289083721
The proposed rigid array solution,-5.90405275263782,0.938133407807061,-3.16055240014618,3.05410360155371,3.07799310723234,3.40836065136472
GARPOS array-fixed slotion,-5.74524336533163,1.18732321762518,-3.17859823688507,3.25918374490842,3.3044889052668,3.59477121999591
