Stations,Station_velocity_E,Station_velocity_N,Station_velocity_U,Residual_STDs_E,Residual_STDs_N,Residual_STDs_U
Free-array,-5.7813062087533,0.436405331195966,-3.30959519891125,4.20901476408368,5.16197292910434,8.03688605153574
Two-step array-rigid,-5.92539715106768,1.01644390564839,-3.14999789443796,3.05441602773736,3.14714401520652,3.38401995216566
Strict rigid-array,-5.90405275263782,0.938133407807061,-3.16055240014618,3.05410360155371,3.07799310723234,3.40836065136472
