,ABIC,log(Lambda),mu(t),dE,dN,dU
0,16937.80951139566,-1.0,1.0,-0.25658328119623025,0.0604223754717288,-0.14913469862519146
1,16976.222970857572,-2.0,1.0,-0.25483783875840693,0.06344668188701996,-0.14788744695011405
2,18862.53223498234,-1.0,0.0,-0.2790528315864808,0.03514765750998619,-0.14844986777122798
3,19196.358296213195,-2.0,0.0,-0.28363503748414215,0.041247504341472147,-0.14630632422698506
