,ABIC,log(Lambda),mu(t),dE,dN,dU
0,33851.01057846801,-1.0,1.0,0.23427149464815789,-0.06245749818088065,0.10399370917166037
1,33994.187033310554,-2.0,1.0,0.23860446451703882,-0.06451986716842234,0.10709599319977262
2,35702.63052772172,-1.0,0.0,0.23440631630734723,-0.06323318880615034,0.10721801669202918
3,36344.71791195206,-2.0,0.0,0.2364487140574272,-0.06951977661106655,0.11116016482794677
