# cfgfile = ./demo_res/MYGI//lambda/MYGI.2006.meiyo_m5_L-02.0_T0.0-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,dV0,gradV1e,gradV1n,gradV2e,gradV2n,dV,LogResidual
0,S01,L01,M15,2.430563,-0.0001023971844833398,23.204009994549978,-0.00031138656483300814,False,3713.395415,-29.38488,1610.22145,13.5329,183.14,1.21,0.46,3716.887535,-30.47323,1598.31743,13.28099,181.96,0.56,1.69,-0.3788109834013571,-0.028633414369993115,-0.03229510595887125,-0.011834305548969767,-0.026842791065147725,-0.4604017417298803,-4.2128998295185016e-05
1,S01,L01,M13,4.098478,0.000100643841447469,57.01232863194677,-0.0002777108896804309,False,3714.485445,-29.37113,1605.77506,12.86353,182.66,-1.76,-0.16,3719.64548,-31.12995,1587.88641,13.08922,181.29,-1.18,1.71,-0.3787661789969129,-0.028594820736717742,-0.03227454757201641,-0.011835225711229155,-0.02684484572732765,-0.4106104493454739,2.4556394214503285e-05
2,S01,L01,M12,3.468557,3.1450938455854685e-05,49.7058539075488,-0.0002966741405750063,False,3723.395525,-31.45065,1575.16063,13.22714,179.91,0.05,1.26,3727.92564,-31.6704,1559.26403,12.57224,179.05,-1.56,1.03,-0.3785659690055015,-0.028422409577666514,-0.032182700535292055,-0.011839336116039881,-0.026854025386189764,-0.43864863315538033,9.067441721688496e-06
3,S01,L01,M14,3.406881,-7.79783517014335e-05,49.05175843773128,-0.0002844786134720084,False,3724.485555,-31.566,1571.37488,13.1204,179.74,-0.51,1.35,3728.953995,-31.51454,1556.1189,12.88664,178.79,-0.31,0.83,-0.37854128963495437,-0.028401163032146383,-0.03217138130952347,-0.011839842610871277,-0.026855156708913842,-0.42061689205394476,-2.2888487065275687e-05
4,S01,L01,M13,4.024578,-3.5855970513322405e-05,56.307988815172834,-0.0002757310731328547,False,3733.39556,-31.64215,1540.36015,13.04937,178.36,-1.34,1.63,3738.481695,-31.20518,1522.62014,12.69755,178.81,-0.4,1.08,-0.37832642930837534,-0.028216240304112468,-0.03207285643921152,-0.01184425064242451,-0.026865004013401438,-0.4076831843644091,-8.909249743282999e-06
5,S01,L01,M15,2.393108,-1.060056285122009e-05,21.01696220639488,-0.0003091881054566627,False,3734.485585,-31.40292,1537.09228,13.4588,178.26,1.35,1.2,3737.94025,-31.22093,1524.28304,12.63791,178.59,-1.2,1.05,-0.3783200369155785,-0.028210738268342084,-0.032069925050918206,-0.011844381797682248,-0.026865297001467708,-0.4571512015964785,-4.429621584658983e-06
6,S01,L01,M12,3.400462,-0.00018272089708778065,48.701597811415695,-0.0002945290926051699,False,3744.4856,-30.6482,1501.93302,12.86113,179.24,-0.52,1.34,3748.94762,-30.40379,1485.95944,13.2523,179.46,-0.79,0.91,-0.3780751203184781,-0.028000042704677305,-0.03195765732549735,-0.011849403538804548,-0.026876517555249557,-0.43547706465197866,-5.373413879872224e-05
7,S01,L01,M15,2.362848,-5.864074916581591e-05,18.99890987805574,-0.0003072830418097052,False,3753.39566,-30.05088,1470.86251,12.89578,180.2,0.05,0.25,3756.820065,-30.36924,1458.81006,13.22703,179.8,-2.06,1.56,-0.3778793980570628,-0.0278317209983249,-0.03186796207365382,-0.0118534149452122,-0.026885481492969966,-0.4543344627894079,-2.481782542330946e-05
8,S01,L01,M13,3.943068,0.00010195305818534137,55.47610967977286,-0.0002735948291465493,False,3754.48569,-30.14803,1467.37768,13.45859,180.23,0.64,0.69,3759.490315,-30.05334,1449.94148,13.20271,179.81,1.24,0.82,-0.37783553758901023,-0.02779400692221865,-0.031847864327807965,-0.011854313689172568,-0.026887489877744336,-0.4045246330229843,2.5856276935964928e-05
9,S01,L01,M13,3.874153,0.0003669142091512622,54.731637656147086,-0.0002717331212991855,False,3773.395795,-30.13355,1403.64459,14.07209,180.1,1.0,1.68,3778.331505,-29.90671,1388.32615,13.79034,179.83,2.93,0.36,-0.37739513739210867,-0.027415376911281597,-0.031646087905380635,-0.011863336027877196,-0.026907650480167702,-0.4017719980916148,9.470823923352079e-05
