# cfgfile = ./demo_res/MYGI//lambda/MYGI.1508.kaiyo_k4_L-02.0_T0.0-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,dV0,gradV1e,gradV1n,gradV2e,gradV2n,dV,LogResidual
0,S01,L01,M15,2.469473,-0.00013680414738799165,25.52987229729962,-7.417005344372119e-05,False,31048.54701,-2.27935,1690.70252,16.29347,175.77,0.61,-0.49,31052.07804,-3.21892,1680.91786,15.50028,175.23,-0.77,1.23,-0.11261015408199966,0.07055663890880401,0.006237367369880425,0.016058866220770657,-0.007957922411136652,-0.10992719923222714,-5.5398114248664254e-05
1,S01,L01,M12,3.532597,-0.00011533481336289828,50.56903772347292,-5.947367331119797e-05,False,31058.53739,-3.13144,1663.58401,16.32504,175.11,1.61,1.0,31063.131545,-2.73503,1650.99946,15.7054,174.44,0.17,0.03,-0.11211865975650903,0.07049947125619803,0.006248292360059468,0.016061321472812043,-0.007952713823198444,-0.08814574119342097,-3.264873218283837e-05
2,S01,L01,M13,4.124248,-7.846369924440685e-05,57.15121204203612,-6.420128362788777e-05,False,31068.53781,-2.5437,1636.07594,16.18076,174.2,0.17,-0.6,31073.723615,-2.98444,1621.85356,16.16697,173.96,1.33,0.72,-0.11163776159514974,0.07044353053939073,0.006258986499257821,0.016063725148690807,-0.0079476181294091,-0.0951525173388558,-1.9024971157022286e-05
3,S01,L01,M14,3.447286,8.932018204401268e-05,49.616143910731836,-7.723179062286125e-05,False,31078.538155,-2.77806,1608.29433,15.41972,173.66,-1.0,0.56,31083.047,-2.45814,1595.88109,16.84161,173.85,0.35,0.34,-0.1111865395563075,0.07039103705935684,0.006269024454128101,0.01606598171878514,-0.007942837332081929,-0.11446499012304036,2.5910290600783537e-05
4,S01,L01,M15,2.409408,-0.00013232564150174358,22.32780731453451,-7.328552358197872e-05,False,31088.53868,-1.78027,1580.76994,15.23438,173.52,0.65,-0.9,31092.009645,-2.48523,1571.38658,16.58828,173.47,0.97,1.28,-0.11074378052004784,0.07033952357337339,0.006278877336804213,0.016068197150757794,-0.007938146538893073,-0.10861624035025198,-5.49203960067135e-05
5,S01,L01,M12,3.428122,-0.00012425952655952948,49.09936983762509,-5.8580000212140396e-05,False,31098.53896,-2.42645,1552.97809,16.14126,173.68,1.13,1.47,31103.02864,-1.17226,1540.44063,15.86382,173.45,-0.29,-0.42,-0.11025306551558187,0.07028242526023379,0.006289800719642748,0.016070653965731298,-0.007932947971567251,-0.08682123114863416,-3.6247113305631906e-05
6,S01,L01,M13,4.000288,1.7714981060635975e-05,55.980410551668015,-6.331002322318922e-05,False,31108.53933,-1.34077,1525.06532,15.58456,173.75,-1.04,-0.53,31113.601175,-1.292,1511.58249,16.4346,173.69,1.19,0.8,-0.10977282087493226,0.07022654004923726,0.006300493856455091,0.016073059800304743,-0.00792786051094499,-0.09383158314066982,4.4284264184568656e-06
7,S01,L01,M14,3.348081,0.0001223363761148605,48.14285109814591,-7.630702547590547e-05,False,31118.53977,-0.68369,1498.03851,15.83721,173.08,1.64,-0.32,31122.94941,-0.47565,1485.53746,16.01391,172.98,-0.21,0.54,-0.1093211973130061,0.07017398085606572,0.006310551824441429,0.01607532355893846,-0.007923076319514735,-0.11309439865340412,3.653925222085741e-05
8,S01,L01,M15,2.356818,-8.101770980541773e-05,18.966347978141954,-7.232016484714391e-05,False,31128.540125,0.29321,1470.08865,14.96738,172.88,-0.58,-1.06,31131.9585,0.49944,1461.05878,16.50699,172.91,1.58,0.64,-0.10887753229715197,0.07012234356987741,0.006320434184751088,0.016077548689822516,-0.007918376419062118,-0.10718548525371861,-3.437588723669699e-05
9,S01,L01,M12,3.326972,3.776001884633576e-05,47.55308617770055,-5.760079663519041e-05,False,31138.54052,1.33968,1443.12456,16.10616,172.5,1.16,-1.93,31142.92905,1.10984,1430.57937,15.7806,172.5,-0.55,1.3,-0.1083881339955596,0.07006537851663404,0.006331336679056575,0.016080004695665374,-0.007913191925524388,-0.08536995665583678,1.1349665355264715e-05
