,ABIC,log(Lambda),mu(t),dE,dN,dU
0,31779.77470074559,-1.0,1.0,0.0033960832860958786,0.0020287027600983895,-0.0018949138611177216
1,32060.02969552389,-2.0,1.0,0.007315311506641599,0.0020813768225969183,0.00030591761936299883
2,33984.490869191926,-1.0,0.0,0.007751338744999157,0.0031037470910011988,0.016401756438718988
3,34692.37432820878,-2.0,0.0,0.014598222734498461,0.006299494375332569,0.015878938724586487
